PID,Retalhista,Nome,Marca,Quantidade,Formato
1002631,PingoDoce,Gelado Sweet Mango Memories,Ben & Jerry's,"0.465 L | 15,03 €/L",Pints
1002632,PingoDoce,Gelados de Chocolate Branco,Magnum,"0.3 L | 9,97 €/L",Sticks
1002633,PingoDoce,Gelado La Pistache,Magnum,"0.27 L | 12,19 €/L",Sticks
1002634,PingoDoce,Gelados Cornetto de Limão,Cornetto,"0.54 L | 6,46 €/L",Cones
1003923,PingoDoce,Gelado de Morango Strawberry Twist,Solero,"0.27 L | 14,78 €/L",Sticks
1003924,PingoDoce,Gelado Pint Pistáchio,Magnum,"0.44 L | 9,52 €/L",Pints
1003925,PingoDoce,Gelado Soft & Crunchy Cornetto de Morango,Carte D'Or,"0.75 L | 3,99 €/L",Tubs
1003926,PingoDoce,Gelados Solero Mini Exotic e Berry Bliss,Solero,"0.3 L | 9,97 €/L",Sticks
1003927,PingoDoce,Gelados Mini Chocolate Branco e Morango,Magnum,"0.33 L | 18,15 €/L",Sticks
1003928,PingoDoce,Gelados Cornetto Max Pistáchio,Cornetto,"0.36 L | 16,64 €/L",Cones
1003934,PingoDoce,Gelado Churros,Ben & Jerry's,"0.465 L | 15,03 €/L",Pints
1003935,PingoDoce,Gelados Signature Pêssego e Chocolate,Magnum,"0.27 L | 12,19 €/L",Sticks
1003936,PingoDoce,Gelados Mini Signature Pistáchio e Chocolate,Magnum,"0.33 L | 21,18 €/L",Sticks
1005114,PingoDoce,Mini Bolas de Gelado de Manga,Sorbites,"0.072 Kg | 41,53 €/Kg",Bites
1005115,PingoDoce,Mini Bolas de Gelado de Frutos Vermelhos,Sorbites,"0.072 Kg | 41,53 €/Kg",Bites
1005457,PingoDoce,Gelados Bombom Chocolate e Cereja,Magnum,"0.204 L | 19,56 €/L",Bites
1005458,PingoDoce,"Gelado de Chocolate, Morango e Baunilha",Carte D'Or,"1.3 L | 2,3 €/L",Tubs
1006476,PingoDoce,Mini Churros com Doce de Leite,Pingo Doce,"0.17 Kg | 15,82 €/Kg",Other
1007716,PingoDoce,Gelados Majestic Tropical com Manga e Maracujá,Pingo Doce,"0.4 L | 8,73 €/L",Sticks
1007717,PingoDoce,Gelado de Iogurte Natural,Pingo Doce,"0.5 L | 6,58 €/L",Pints
1008051,PingoDoce,Mini Bolas de Gelado Cookie Dough Caramelo,Pingo Doce,"6 Un | 0,8 €/Un",Bites
1008052,PingoDoce,Mini Bolas de Gelado Cookie Dough Baunilha,Pingo Doce,"6 Un | 0,8 €/Un",Bites
1008886,PingoDoce,Gelado de Baunilha e Morango,Carte D'Or,"1.7 L | 4,7 €/L",
1008971,PingoDoce,Gelado Solero Exótico XL,Solero,"0.54 L | 6,46 €/L",
1008972,PingoDoce,Gelados Sandwich,Magnum,"0.56 L | 14,27 €/L",
1008973,PingoDoce,Gelados Feast Caramelo,Olá,"0.36 L | 13,86 €/L",
1008974,PingoDoce,Gelados de Caramelo Salgado,Magnum,"0.3 L | 16,63 €/L",
1008979,PingoDoce,Gelados Cookie Dough Sandwich,Ben & Jerry's,"0.272 L | 18,35 €/L",
1009025,PingoDoce,Gelado Pitaya e Maracujá 0%,Native,"0.16 L | 16,25 €/L",
1009026,PingoDoce,Gelado Truficone,La Menorquina,"0.26 Kg | 19,19 €/Kg",
1009121,PingoDoce,Gelados Haribo Push Up,Olá,"0.34 L | 14,68 €/L",
1009242,PingoDoce,Gelado de Pistáchio,Carte D'Or,"0.825 L | 7,26 €/L",
1009244,PingoDoce,Gelado Mini Barra,Reeses,"0.302 L | 18,18 €/L",
1009274,PingoDoce,Pedaços de Ananás Cobertos com Chocolate Branco e Coco,Pingo Doce,"0.1 Kg | 26,9 €/Kg",Bites
1009275,PingoDoce,Rodelas de Banana Cobertas com Chocolate de Leite,Pingo Doce,"0.1 Kg | 26,9 €/Kg",Bites
1009297,PingoDoce,Gelado Cone de Baunilha e Pistachio,Pingo Doce,"0.44 L | 5,66 €/L",Cones
1009314,PingoDoce,Gelados de Amêndoas Vegan,Magnum,"0.27 L | 22,19 €/L",
1009332,PingoDoce,Gelado de Avelã,Pingo Doce,"1 L | 2,99 €/L",Tubs
19556,PingoDoce,Gelado de Baunilha,Viennetta,"0.65 L | 3,98 €/L",Cakes
39237,PingoDoce,Gelado Chocolate,Pingo Doce,"1 L | 2,89 €/L",Tubs
39238,PingoDoce,Gelado Morango Pingo Doce 1000 ml,Pingo Doce,"1 L | 2,74 €/L",Tubs
419521,PingoDoce,Gelado Seleção Caramelo,Pingo Doce,"0.95 L | 3,04 €/L",Tubs
419526,PingoDoce,Gelado Seleção Stracciatella,Pingo Doce,"0.95 L | 3,04 €/L",Tubs
437830,PingoDoce,Gelado Strawberry Cheesecake,Pingo Doce,"0.95 L | 3,04 €/L",Tubs
485998,PingoDoce,Gelado Mini Sandwich,Pingo Doce,"0.51 L | 5,86 €/L",Sandwich
527533,PingoDoce,Gelado Sensações Duo Chocolate,Pingo Doce,"0.95 L | 3,04 €/L",Tubs
559492,PingoDoce,Profiteroles Congelados,Pingo Doce,"0.3 Kg | 9,63 €/Kg",Other
622764,PingoDoce,Gelados Mini Majestic Mix,Pingo Doce,"0.48 L | 6,65 €/L",Sticks
622766,PingoDoce,Tarte Gelada Nata e Chocolate,Pingo Doce,"1 L | 2,49 €/L",Cakes
622767,PingoDoce,Tarte Gelada Capuccino,Pingo Doce,"1 L | 2,49 €/L",Cakes
622768,PingoDoce,Tarte Gelada Nata e Morango,Pingo Doce,"1 L | 2,49 €/L",Cakes
646990,PingoDoce,Petit Gateau com Recheio de Chocolate de Leite,Pingo Doce,"0.32 Kg | 12,34 €/Kg",Other
650947,PingoDoce,Petit Gateau com Recheio de Chocolate Negro,Pingo Doce,"0.32 Kg | 12,34 €/Kg",Other
656612,PingoDoce,Gelado Menta e Chocolate,Pingo Doce,"0.95 L | 3,04 €/L",Tubs
657248,PingoDoce,Gelado de Baunilha sem Açúcar,Pingo Doce,"0.5 L | 4,98 €/L",Pints
657249,PingoDoce,Gelado de Chocolate sem Açúcar,Pingo Doce,"0.5 L | 4,98 €/L",Pints
657250,PingoDoce,Gelado de Morango Sem Açúcar,Pingo Doce,"0.5 L | 4,98 €/L",Pints
658097,PingoDoce,Gelados Cones Chocolate,Pingo Doce,"0.72 L | 3,74 €/L",Cones
658098,PingoDoce,Gelados Cones Morango,Pingo Doce,"0.72 L | 3,74 €/L",Cones
658963,PingoDoce,Gelados Cones Clássicos,Pingo Doce,"0.72 L | 3,74 €/L",Cones
671010,PingoDoce,Gelado Super Maxi,Olá,"0.39 L | 7,67 €/L",Sticks
671030,PingoDoce,Gelado Perna de Pau,Olá,"0.42 L | 7,12 €/L",Sticks
731664,PingoDoce,Pastéis de Nata sem Glúten,Pura Vida,"0.33 Kg | 12,09 €/Kg",Other
738686,PingoDoce,Gelado Super Mix,Calippo,"0.525 L | 5,7 €/L",Pots
746073,PingoDoce,Gelado Baunilha,Pingo Doce,"1 L | 2,29 €/L",Tubs
747546,PingoDoce,Gelado Fizz Limão,Olá,"0.36 L | 8,31 €/L",Sticks
755209,PingoDoce,"Gelado de Café, Chocolate e Caramelo",Pingo Doce,"0.95 L | 3,04 €/L",Tubs
774976,PingoDoce,Gelados Tubitos Limão e Morango,Pingo Doce,"0.66 L | 4,38 €/L",Pots
775523,PingoDoce,Gelado Cone de Chocolate,Cornetto,"0.54 L | 6,46 €/L",Cones
775524,PingoDoce,Gelado Cone Clássico,Cornetto,"0.54 L | 6,46 €/L",Cones
775647,PingoDoce,Gelado Morango,Calippo,"0.525 L | 5,7 €/L",Pots
775908,PingoDoce,Gelado Cone de Morango,Cornetto,"0.54 L | 6,46 €/L",Cones
821625,PingoDoce,Gelados Cones Caramelo e Baunilha,Pingo Doce,"0.72 L | 3,74 €/L",Cones
821647,PingoDoce,Gelados Mini Majestic Amêndoas,Pingo Doce,"0.48 L | 6,85 €/L",Sticks
839588,PingoDoce,Gelado Mini Double Framboesa,Magnum,"0.33 L | 21,18 €/L",Sticks
856635,PingoDoce,Gelado de Chocolate Clássico,Magnum,"0.44 L | 7,93 €/L",Pints
856636,PingoDoce,Gelado Magnum Amêndoas,Magnum,"0.44 L | 9,07 €/L",Pints
860048,PingoDoce,"Gelado Mini Chocolate Branco, Clássico, e Amêndoa",Magnum,"0.33 L | 19,06 €/L",Sticks
860049,PingoDoce,Gelado Mini Chocolate e Amêndoas,Magnum,"0.33 L | 18,15 €/L",Sticks
862647,PingoDoce,Gelado Peanut Butter Crunch,Häagen-Dazs,"0.46 L | 17,37 €/L",Pints
865158,PingoDoce,Gelado Caramelo Salgado,Pingo Doce,"0.95 L | 3,04 €/L",Tubs
866226,PingoDoce,Gelado Cornetto Mini Clássico,Cornetto,"0.48 L | 8,31 €/L",
877321,PingoDoce,Gelado de Cheesecake Morango,Häagen-Dazs,"0.46 L | 17,37 €/L",Pints
878023,PingoDoce,Gelado de Morango e Nata,Häagen-Dazs,"0.46 L | 17,37 €/L",Pints
878024,PingoDoce,Gelado de Chocolate Belga,Häagen-Dazs,"0.46 L | 17,37 €/L",Pints
878025,PingoDoce,Gelado de Caramelo Salgado,Häagen-Dazs,"0.46 L | 17,37 €/L",Pints
878026,PingoDoce,Gelado Speculoos Caramel Biscuit,Häagen-Dazs,"0.46 L | 17,37 €/L",Pints
878027,PingoDoce,Gelado de Macadâmia,Häagen-Dazs,"0.46 L | 17,37 €/L",Pints
878028,PingoDoce,Gelado Cookies & Cream,Häagen-Dazs,"0.46 L | 17,37 €/L",Pints
878029,PingoDoce,Gelado Praliné & Cream,Häagen-Dazs,"0.46 L | 17,37 €/L",Pints
878030,PingoDoce,Gelado Doce Leite,Häagen-Dazs,"0.46 L | 17,37 €/L",Pints
878031,PingoDoce,Gelado de Manga e Framboesa,Häagen-Dazs,"0.46 L | 17,37 €/L",Pints
878036,PingoDoce,Gelado de Doce de Leite Mini,Häagen-Dazs,"0.095 L | 31,05 €/L",Pints
883040,PingoDoce,Gelado de Chocolate Branco e Cookies,Magnum,"0.44 L | 9,07 €/L",Pints
883041,PingoDoce,Gelado Mini Chocolate Branco e Cookies,Magnum,"0.33 L | 15,12 €/L",Sticks
883043,PingoDoce,Gelado Double Caramelo Salgado,Magnum,"0.44 L | 9,07 €/L",Pints
887549,PingoDoce,Gelados Caramel Collection Mini Pack 4,Häagen-Dazs,"0.38 L | 21,03 €/L",Cups
888023,PingoDoce,Gelados Chocolate Collection Mini Pack 4,Häagen-Dazs,"0.38 L | 21,03 €/L",Cups
908731,PingoDoce,Gelado Feast,Olá,"0.36 L | 8,31 €/L",Sticks
908733,PingoDoce,Gelado Ben & Jerry's Strawberry Cheesecake,Ben & Jerry's,"0.465 L | 10,73 €/L",
908734,PingoDoce,Gelado Chocolate Fudge Brownie,Ben & Jerry's,"0.465 L | 15,03 €/L",Pints
908737,PingoDoce,Gelado Caramel Brownie Party,Ben & Jerry's,"0.465 L | 15,03 €/L",Pints
908740,PingoDoce,Gelado Peanut Butter Cup,Ben & Jerry's,"0.465 L | 15,03 €/L",Pints
909553,PingoDoce,Gelados Fruit Collection Mini Pack 4,Häagen-Dazs,"0.326 L | 24,51 €/L",Cups
909557,PingoDoce,Gelado Cookie Dough,Ben & Jerry's,"0.465 L | 15,03 €/L",Pints
910854,PingoDoce,,,,
910855,PingoDoce,Gelado Proteína Caramelo Salgado,Go Active,"0.5 L | 6,58 €/L",Pints
923198,PingoDoce,Gelado Gold Caramel Billionaire,Magnum,"0.44 L | 9,07 €/L",Pints
923201,PingoDoce,Gelado Double Gold Caramel Billionaire,Magnum,"0.33 L | 21,18 €/L",Sticks
928314,PingoDoce,,,,
928318,PingoDoce,Gelado em Barra,Twix,"0.259 L | 11,54 €/L",Bars
928322,PingoDoce,Gelado Caramelo e Manteiga Amendoim Cobertura Chocolate,Snickers,"0.302 L | 19,83 €/L",Bars
928323,PingoDoce,Gelado Barra 6UN,Mars,"0.297 L | 13,1 €/L",Bars
930308,PingoDoce,"Gelado Mini Chocolate Branco, Clássico, e Amêndoa",Magnum,"0.55 L | 18,16 €/L",Sticks
932288,PingoDoce,Gelados Ice Up,Pingo Doce,"0.32 L | 9,34 €/L",Sticks
942259,PingoDoce,Gelado Solero Exótico,Solero,"0.27 L | 14,78 €/L",Sticks
942541,PingoDoce,Gelados The Mini Joys Collection Pack 4,Häagen-Dazs,"0.32 L | 24,97 €/L",Cups
955908,PingoDoce,Gelado Ben & Jerry's Half Baked,Ben & Jerry's,"0.465 L | 10,73 €/L",
956781,PingoDoce,Gelado de Natas Frescas,Pingo Doce,"1 L | 2,74 €/L",Tubs
956782,PingoDoce,Sorbet de Manga,Pingo Doce,"1 L | 2,99 €/L",Tubs
958601,PingoDoce,Sorbet de Morango,Pingo Doce,"1 L | 3,49 €/L",Tubs
961131,PingoDoce,Gelado Mochi Morango,Pingo Doce,"0.14 Kg | 21,36 €/Kg",Bites
961275,PingoDoce,Gelado Tiramisu,Pingo Doce,"0.95 L | 3,04 €/L",Tubs
961291,PingoDoce,Gelado Sandwich XXL Filipinos,Olá,"0.52 L | 7,67 €/L",Sandwich
962383,PingoDoce,Gelado Pirulitos,Pingo Doce,"0.368 L | 5,41 €/L",Sticks
962923,PingoDoce,Gelado Mini Double Caramelo,Magnum,"0.33 L | 21,18 €/L",Sticks
963351,PingoDoce,Gelado Azul,Pingo Doce,"0.95 L | 2,05 €/L",Tubs
970144,PingoDoce,Gelado de Baunilha,Häagen-Dazs,"0.46 L | 17,37 €/L",Pints
970201,PingoDoce,Gelado de Pistáchio,Pingo Doce,"0.5 L | 7,98 €/L",Pints
970498,PingoDoce,Gelado Mini Collection Pink Lemonade,Magnum,"0.33 L | 21,18 €/L",Sticks
970504,PingoDoce,Gelado Tiramisu Les Desserts,Carte D'Or,"0.825 L | 3,99 €/L",Tubs
970901,PingoDoce,Crepes com Chocolate Congelados,Pingo Doce,"0.54 Kg | 5,72 €/Kg",Other
971074,PingoDoce,Gelado Salted Caramel Les Desserts,Carte D'Or,"0.825 L | 3,99 €/L",Tubs
971117,PingoDoce,Gelado Chocolate Brownie Les Desserts,Carte D'Or,"0.825 L | 3,99 €/L",Tubs
971642,PingoDoce,Gelado Rol,Olá,"0.36 L | 8,31 €/L",Sticks
971695,PingoDoce,Gelado Chocolate Branco e Morango,Magnum,"0.4 L | 9,98 €/L",Sticks
971819,PingoDoce,Panquecas de Banana e Espelta Congeladas,Pingo Doce,"0.24 Kg | 13,71 €/Kg",Other
972232,PingoDoce,Gelado Baunilha Exótica Solero Les Desserts,Carte D'Or,"0.825 L | 3,99 €/L",Tubs
972817,PingoDoce,Gelado Cone Brigadeiro,Cornetto,"0.48 L | 12,48 €/L",Cones
974156,PingoDoce,Gelado Chocolate e Amêndoa,Magnum,"0.4 L | 9,98 €/L",Sticks
974157,PingoDoce,Gelado de Menta,Magnum,"0.3 L | 13,3 €/L",Sticks
974161,PingoDoce,Gelado Morango e Merengue Les Desserts,Carte D'Or,"0.825 L | 3,99 €/L",Tubs
974228,PingoDoce,Gelado Majestic Limão,Pingo Doce,"0.6 L | 6,48 €/L",Sticks
974247,PingoDoce,Gelado Mochi Limão,Pingo Doce,"0.14 Kg | 21,36 €/Kg",Bites
974640,PingoDoce,"Gelado Chocolate Clássico, Amêndoa e Chocolate Branco",Magnum,"0.8 L | 7,49 €/L",Sticks
975275,PingoDoce,Gelado After Dinner,Magnum,"0.28 L | 26,75 €/L",Bites
975473,PingoDoce,Gelado Mini Majestic Duplo Caramelo,Pingo Doce,"0.33 L | 11,18 €/L",Sticks
975482,PingoDoce,Gelado de Morango e Banana,Danonino,"0.3 L | 16,63 €/L",Sticks
975483,PingoDoce,Gelado Barra Chocolate Branco 6UN,Snickers,"0.264 L | 22,69 €/L",Bars
975484,PingoDoce,Gelado Barra 6UN,Bounty,"0.3 L | 12,97 €/L",Bars
975489,PingoDoce,Gelado Mini Double Chocolate e Caramelo Pack 6,Magnum,"0.33 L | 13,61 €/L",
975490,PingoDoce,Gelado Baunilha e Noz Pecan Les Desserts,Carte D'Or,"0.825 L | 3,99 €/L",Tubs
975990,PingoDoce,Gelado de Caramelo Salgado,Olá,"0.9 L | 3,32 €/L",Tubs
976000,PingoDoce,Gelado com Molho de Frutos Exóticos,Olá,"0.9 L | 3,32 €/L",Tubs
976223,PingoDoce,Gelado Tarte de Limão Les Desserts,Carte D'Or,"0.825 L | 3,99 €/L",Tubs
976502,PingoDoce,Gelado Cookie Dough,Pingo Doce,"0.5 L | 6,98 €/L",Pints
976503,PingoDoce,Chocolate Belga,,,Pints
976505,PingoDoce,Gelado Meios Cocos,Pingo Doce,"0.29 L | 9,62 €/L",Other
976506,PingoDoce,Gelado Crocante Avelã,Pingo Doce,"0.3 L | 10,97 €/L",Sticks
976508,PingoDoce,Gelado Chocolate Clássico,Magnum,"0.3 L | 9,97 €/L",Sticks
976862,PingoDoce,Gelado Majestic Cookies,Pingo Doce,"0.6 L | 6,48 €/L",Sticks
976863,PingoDoce,Gelado Majestic Amêndoas,Pingo Doce,"0.72 L | 4,99 €/L",Sticks
976864,PingoDoce,Gelado Majestic Clássico,Pingo Doce,"0.72 L | 4,99 €/L",Sticks
977862,PingoDoce,Gelado Tripla Delícia,Pingo Doce,"2 L | 1,65 €/L",Tubs
977982,PingoDoce,Gelado Bombom Gold Caramel Billionaire,Magnum,"0.204 L | 19,56 €/L",Bites
977983,PingoDoce,Gelado Bombom Caramelo Salgado e Amêndoas,Magnum,"0.204 L | 19,56 €/L",Bites
977984,PingoDoce,Gelado Bombons de Chocolate Branco e Cookies,Magnum,"0.204 L | 29,36 €/L",Bites
978195,PingoDoce,Sorbet Framboesa,Pingo Doce,"1 L | 3,69 €/L",Tubs
985760,PingoDoce,Gelado Vegan Berries e Pistachio,Swee,"0.23 Kg | 29,52 €/Kg",Pints
986748,PingoDoce,Gelado Double Cherry,Magnum,"0.255 L | 15,65 €/L",Sticks
987203,PingoDoce,Gelados Mini Chocolate Branco e Amêndoa,Magnum,"0.33 Kg | 18,15 €/Kg",Sticks
988000,PingoDoce,Gelado Double Hazelnut,Magnum,"0.255 L | 15,65 €/L",Sticks
988220,PingoDoce,Gelado Mini Chocolate Clássico,Magnum,"0.33 L | 12,09 €/L",Sticks
988747,PingoDoce,Gelado Fruit Mix,Pingo Doce,"0.34 L | 7,62 €/L",Sticks
988835,PingoDoce,Gelado After Dinner,Magnum,"0.28 L | 26,75 €/L",Bites
988837,PingoDoce,Gelado Sticks Filipinos,Olá,"0.248 L | 16,09 €/L",Sticks
988839,PingoDoce,Gelado Twister Mini Ananás,Olá,"0.3 L | 13,3 €/L",
988840,PingoDoce,Gelado Cone Max Manga e Baunilha,Cornetto,"0.36 L | 16,64 €/L",Cones
988841,PingoDoce,Gelado Chocolate e Amêndoa,Magnum,"0.8 L | 7,49 €/L",Sticks
988987,PingoDoce,Mini Sandwich Avelã,,,Sandwich
990204,PingoDoce,Gelado Baunilha de Madagáscar,Carte D'Or,"1.3 L | 2,3 €/L",Tubs
990451,PingoDoce,Gelado Mini Sandwich de Nata,Pingo Doce,"0.6 L | 3,98 €/L",Sandwich
990452,PingoDoce,Gelado Geláticos,Pingo Doce,"0.342 L | 8,16 €/L",Sticks
990499,PingoDoce,Gelado Mochi de Coco,Pingo Doce,"0.14 L | 21,36 €/L",Bites
990500,PingoDoce,Gelado Cone Perna de Pau,Olá,"0.36 L | 8,31 €/L",Cones
990584,PingoDoce,Gelado Caramel & Nuts,Magnum,"0.256 L | 26,13 €/L",Bars
990615,PingoDoce,Gelado Cone Limão,Pingo Doce,"0.72 L | 4,15 €/L",Cones
990978,PingoDoce,Gelado de Pistáchio e Baunilha,Pingo Doce,"0.95 L | 3,88 €/L",Tubs
990979,PingoDoce,Gelado 3 Sabores,Pingo Doce,"1 L | 2,79 €/L",Tubs
991269,PingoDoce,Gelado Peanut Butter Cup,Pingo Doce,"0.5 L | 6,98 €/L",Pints
991270,PingoDoce,Framboesas Cobertas de Chocolate de Leite,Pingo Doce,"0.1 Kg | 26,9 €/Kg",Bites
991271,PingoDoce,Framboesas Cobertas de Chocolate Negro,Pingo Doce,"0.1 Kg | 26,9 €/Kg",Bites
991385,PingoDoce,Gelado Tarte de Limão,Pingo Doce,"0.5 L | 6,98 €/L",Pints
991498,PingoDoce,Gelado Majestic Pistáchio,Pingo Doce,"0.4 L | 8,73 €/L",Sticks
991579,PingoDoce,Gelado Vegan de Baunilha com Cookie,Swee,"0.24 Kg | 28,29 €/Kg",Pints
992086,PingoDoce,Gelado de Café Caramel Latte,Pingo Doce,"0.95 L | 3,04 €/L",Tubs
992368,PingoDoce,Gelados Mini Cones de Chocolate e Morango,Pingo Doce,"0.336 L | 8,9 €/L",Cones
992498,PingoDoce,Gelado Majestic Chocolate Branco e Amêndoa,Pingo Doce,"0.72 L | 5,4 €/L",Sticks
992500,PingoDoce,Gelado Vegan Caramelo e Brownie,Swee,"0.23 Kg | 29,52 €/Kg",Pints
992711,PingoDoce,Gelado Vegan de Manga e Red Velvet,Swee,"0.24 Kg | 28,29 €/Kg",Pints
993098,PingoDoce,Morangos Cobertos de Chocolate,itFruit,"0.11 Kg | 24,45 €/Kg",Bites
993243,PingoDoce,Crepes Doces,Pingo Doce,"1 Kg | 3,99 €/Kg",Other
993513,PingoDoce,Gelado Ben & Jerry's Non Dairy Bohemian Rasperry,Ben & Jerry's,"0.465 L | 8,58 €/L",
993759,PingoDoce,Gelado Romântica Original,Carte D'Or,"1 L | 9,99 €/L",
998878,PingoDoce,Cookies Congeladas,Pingo Doce,"0.54 Kg | 7,2 €/Kg",Other
999836,PingoDoce,Massa de Pastel de Feira,Duforno,"0.75 Grm | 11,99 €/Grm",
